,Major,Minor,ZipCode,DocumentDate,SalePrice,SqFtLot,SqFtTotLiving,Nuisances,Has_Nuisance,TrafficNoise,PowerLines,OtherNuisances,Is_WaterFrontLocation,WaterFrontLocation,Has_Porch,Has_OpenPorch,Has_EnclosedPorch,View_MtRainier,View_Olympics,View_Cascades,SeattleSkyline,View_PugetSound,View_LakeWashington,View_LakeSammamish,View_SmallLakeRiverCreek,BldgGrade,Has_Deck,Has_Finished_Basement,Has_Attached_Garage
290363,4610,209,98040,2019-05-28,3730000,65956,4620,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,2,0,0,11.0,1,1,1
225158,4900,36,98146,2019-01-23,528000,8040,1290,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,1,0
399966,5030,160,98042,2019-04-22,495000,8872,3000,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,0,1
554870,5030,380,98042,2019-05-14,500000,8961,2180,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
644553,5100,220,98023,2019-04-16,445000,13125,2670,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,1,0
975588,5100,130,98023,2019-07-09,295000,12000,2020,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
691485,5330,270,98058,2019-01-01,654950,5618,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
605653,5330,360,98058,2019-01-16,639950,4000,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
526812,5330,470,98058,2019-01-22,725000,4186,3432,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,1,1
138034,5330,50,98058,2019-02-01,669950,4844,3322,Traffic Noise,1,2,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,1,1,1
616760,5330,340,98058,2019-02-05,642950,4000,2487,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
350119,5330,430,98058,2019-02-06,702500,4000,3432,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,1,1
661825,5330,450,98058,2019-03-01,724950,4000,3432,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,1,1
